"","Maso","Cachnhau"
"1",1912980,180
"2",1914227,0
"3",1913014,629280
"4",1911136,0
"5",1915329,60
"6",1915268,120
"7",1913186,480
"8",1911591,120
"9",1911520,60
"10",1914845,60
"11",1911704,0
"12",1912817,0
"13",1910666,180
"14",1911931,0
"15",1915482,0
"16",1913123,60
"17",1915541,180
"18",1911881,300
"19",1913021,360
"20",1812478,0
"21",1914220,0
"22",1914472,0
"23",1913094,360
"24",1936024,693480
"25",1914677,120
"26",1914003,180
"27",1913075,120
"28",1912041,0
"29",1914738,2161980
"30",1915865,120
"31",1914405,602340
"32",1911796,180
"33",1927007,32340
"34",1915146,0
"35",1913775,120
"36",1915822,60
"37",1915562,0
"38",1914720,60
"39",1913355,120
"40",1911314,120
"41",1911837,0
"42",1911262,60
"43",1913102,0
"44",1912288,120
"45",1913114,435960
"46",1911569,0
"47",1913566,60
"48",1913380,0
"49",1913832,120
"50",1914474,120
"51",1910644,180
"52",1915540,120
"53",1915473,0
"54",1914052,180
"55",1913464,240
"56",1912190,0
"57",1913241,0
"58",1912056,0
"59",1914864,180
"60",1911185,180
"61",1910101,120
"62",1913713,120
"63",1913254,60
"64",1914641,0
"65",1914384,180
"66",1814096,60
"67",1913356,0
"68",1913386,0
"69",1913609,120
"70",1913844,60
"71",1910865,120
"72",1913396,180
"73",1915275,0
"74",1911283,0
"75",1912410,120
"76",1912523,0
"77",1910409,240
"78",1910339,180
"79",1914055,240
"80",1915903,0
"81",1914291,0
"82",1912811,180
"83",1914807,0
"84",1914768,600
"85",1912184,240
"86",1913467,0
"87",1912749,383160
"88",1910137,360
"89",1913306,0
"90",1911186,180
"91",1912371,180
"92",1915076,0
"93",1912084,120
"94",1911561,120
"95",1912700,60
"96",1915953,0
"97",1915323,180
"98",1913261,0
"99",1910113,60
"100",1913418,420
"101",1910202,120
"102",1914121,0
"103",1911478,60
"104",1910110,180
"105",1910650,120
"106",1915919,180
"107",1914979,120
"108",1937024,0
"109",1912463,0
"110",1911207,0
"111",1915795,0
"112",1915442,180
"113",1910620,240
"114",1910094,0
"115",1910892,60
"116",1511191,120
"117",1912798,120
"118",1912123,0
"119",1915991,60
"120",1910351,120
"121",1913621,120
"122",1912715,180
"123",1914881,120
"124",1910298,120
"125",1913433,120
"126",1915651,120
"127",1913918,300
"128",1914316,60
"129",1910038,0
"130",1912676,120
"131",1812257,0
"132",1912579,0
"133",1915071,120
"134",1910916,120
"135",1912237,120
"136",1914054,0
"137",1914084,0
"138",1914659,60
"139",1910076,0
"140",1913944,0
"141",1916061,180
"142",1912683,0
"143",1915520,1965480
"144",1915378,469800
"145",1910565,0
"146",1913026,0
"147",1911907,180
"148",1910643,60
"149",1910238,427440
"150",1910276,240
"151",1911105,180
"152",1937064,0
"153",1910032,0
"154",1913764,180
"155",1912912,0
"156",1915351,0
"157",1914880,0
"158",1914674,120
"159",1911441,0
"160",1913218,0
"161",1914698,300
"162",1913048,540
"163",1913336,0
"164",1913652,0
"165",1915882,1140
"166",1915988,0
"167",1812477,180
"168",1911000,0
"169",1911066,60
"170",1914022,0
"171",1913341,120
"172",1912539,0
"173",1913695,0
"174",1913334,0
"175",1915474,0
"176",1914704,180
"177",1915063,900
"178",1911650,60
"179",1913729,0
"180",1915251,0
"181",1910123,0
"182",1911058,300
"183",1912594,120
"184",1913763,120
"185",1912916,120
"186",1910473,0
"187",1911056,180
"188",1912761,0
"189",1914126,180
"190",1613010,120
"191",1912386,0
"192",1915775,600
"193",1913817,0
"194",1914078,0
"195",1814518,120
"196",1911841,0
"197",1912675,0
"198",1915745,180
"199",1912602,240
"200",1913949,60
"201",1915551,0
"202",1911736,180
"203",1915557,0
"204",1915083,240
"205",1914310,120
"206",1914424,0
"207",1913651,420
"208",1914093,627180
"209",1915982,120
"210",1913268,0
"211",1915439,0
"212",1914352,240
"213",1914210,120
"214",1915040,60
"215",1914011,0
"216",1914079,240
"217",1914038,378900
"218",1912046,720
"219",1910984,0
"220",1911565,0
"221",1912457,180
"222",1914830,120
"223",1915486,0
"224",1915130,60
"225",1911015,120
"226",1915294,0
"227",1914763,300
"228",1911594,0
"229",1914477,0
"230",1813096,60
"231",1913560,900
"232",1915787,0
"233",1912954,120
"234",1914713,180
"235",1914651,0
"236",1914914,120
"237",1913629,0
"238",1911217,420
"239",1820028,60
"240",1913424,60
"241",1915656,120
"242",1914685,180
"243",1912966,0
"244",1911296,120
"245",1913678,0
"246",1915940,120
"247",1914661,60
"248",1852443,120
"249",1912705,0
"250",1915983,0
"251",1915598,180
"252",1914232,0
"253",1914047,180
"254",1911900,60
"255",1915866,0
"256",1911110,360
"257",1910346,0
"258",1913446,0
"259",1913419,0
"260",1913828,240
"261",1911363,120
"262",1912526,0
"263",1910006,120
"264",1910060,180
"265",1912267,120
"266",1913430,120
"267",1910347,180
"268",1910224,0
"269",1910663,0
"270",1911530,0
"271",1915016,120
"272",1910402,60
"273",1912713,120
"274",1915570,120
"275",1913599,0
"276",1913167,240
"277",1911044,180
"278",1913457,0
"279",1916022,0
"280",1913354,0
"281",1912384,240
"282",1915470,600
"283",1915350,0
"284",1913045,0
"285",1915133,0
"286",1910265,240
"287",1813681,0
"288",1911285,0
"289",1913040,60
