"","Maso"
"1",1914227
"2",1911136
"3",1911704
"4",1912817
"5",1911931
"6",1915482
"7",1812478
"8",1914220
"9",1914472
"10",1912041
"11",1915146
"12",1915562
"13",1911837
"14",1913102
"15",1911569
"16",1913380
"17",1915473
"18",1912190
"19",1913241
"20",1912056
"21",1914641
"22",1913356
"23",1913386
"24",1915275
"25",1911283
"26",1912523
"27",1915903
"28",1914291
"29",1914807
"30",1913467
"31",1913306
"32",1915076
"33",1915953
"34",1913261
"35",1914121
"36",1937024
"37",1912463
"38",1911207
"39",1915795
"40",1910094
"41",1912123
"42",1910038
"43",1812257
"44",1912579
"45",1914054
"46",1914084
"47",1910076
"48",1913944
"49",1912683
"50",1910565
"51",1913026
"52",1937064
"53",1910032
"54",1912912
"55",1915351
"56",1914880
"57",1911441
"58",1913218
"59",1913336
"60",1913652
"61",1915988
"62",1911000
"63",1914022
"64",1912539
"65",1913695
"66",1913334
"67",1915474
"68",1913729
"69",1915251
"70",1910123
"71",1910473
"72",1912761
"73",1912386
"74",1913817
"75",1914078
"76",1911841
"77",1912675
"78",1915551
"79",1915557
"80",1914424
"81",1913268
"82",1915439
"83",1914011
"84",1910984
"85",1911565
"86",1915486
"87",1915294
"88",1911594
"89",1914477
"90",1915787
"91",1914651
"92",1913629
"93",1912966
"94",1913678
"95",1912705
"96",1915983
"97",1914232
"98",1915866
"99",1910346
"100",1913446
"101",1913419
"102",1912526
"103",1910224
"104",1910663
"105",1911530
"106",1913599
"107",1913457
"108",1916022
"109",1913354
"110",1915350
"111",1913045
"112",1915133
"113",1813681
"114",1911285
