"","Maso","f","Diem"
"1",1913014,53430,9
"2",1914807,0,10
"3",1915540,0,10
"4",1915541,0,10
"5",1913186,0,10
"6",1911591,0,10
"7",1912190,0,10
"8",1911704,0,10
"9",1915329,0,10
"10",1911186,270,9
"11",1912041,0,10
"12",1910666,0,10
"13",1914003,684660,9
"14",1914802,180,8.5
"15",1915130,0,10
"16",1915822,0,10
"17",1913355,0,10
"18",1914055,0,10
"19",1911931,0,9.5
"20",1913464,0,10
"21",1814096,30,9.5
"22",1913123,90,9
"23",1911796,60,9
"24",1937024,0,9.5
"25",1913094,0,10
"26",1916061,0,10
"27",1913114,0,10
"28",1913844,80,10
"29",1914038,0,10
"30",1914472,0,10
"31",1912602,0,10
"32",1914864,0,10
"33",1911262,0,10
"34",1937019,116775,3
"35",1913832,0,10
"36",1914845,0,10
"37",1914405,0,10
"38",1914474,30,9
"39",1913102,0,9.5
"40",1910620,0,10
"41",1912817,0,10
"42",1913386,0,10
"43",1915953,0,9.5
"44",1910032,0,10
"45",1915865,0,10
"46",1914121,0,9
"47",1915071,0,10
"48",1913433,30,9
"49",1910916,0,10
"50",1914052,100,7.5
"51",1911837,0,10
"52",1913075,0,10
"53",1913467,0,10
"54",1913917,120,9.5
"55",1915439,90,8
"56",1915482,0,10
"57",1913396,0,10
"58",1911136,0,10
"59",1912123,0,10
"60",1913341,60,9
"61",1913949,40,9
"62",1913356,0,9.5
"63",1912184,0,10
"64",1914227,60,9.5
"65",1914641,0,10
"66",1911881,40,9.5
"67",1911456,0,9
"68",1914768,30,9
"69",1913828,0,10
"70",1912761,60,7
"71",1913651,60,8.5
"72",1911185,0,10
"73",1910038,702060,9
"74",1910076,0,10
"75",1915905,90,7
"76",1913418,380,9
"77",1511191,0,10
"78",1915903,150,9
"79",1910409,0,10
"80",1910101,0,10
"81",1911044,0,10
"82",1912980,0,10
"83",1912715,0,10
"84",1914093,0,10
"85",1912811,0,10
"86",1915323,0,10
"87",1910238,0,10
"88",1910298,0,10
"89",1915939,30,9
"90",1910402,0,10
"91",1910865,30,9.5
"92",1911561,60,7
"93",1915268,60,9
"94",1911520,0,10
"95",1913268,0,10
"96",1912371,0,10
"97",1910113,0,10
"98",1914054,0,10
"99",1914738,0,10
"100",1914697,0,10
"101",1911478,0,10
"102",1915473,0,10
"103",1910644,0,10
"104",1914084,0,10
"105",1913652,0,10
"106",1910346,0,10
"107",1912056,40,9.5
"108",1913775,40,9.5
"109",1812478,0,8.5
"110",1915351,0,9.5
"111",1913021,0,9.5
"112",1913424,60,9.5
"113",1914220,0,10
"114",1913817,60,7.5
"115",1936024,30,9
"116",1914126,0,10
"117",1914677,0,10
"118",1910224,0,10
"119",1911066,0,10
"120",1913026,0,9.5
"121",1913380,0,10
"122",1913713,0,10
"123",1910137,0,10
"124",1911314,0,10
"125",1915146,0,9.5
"126",1911283,0,7.5
"127",1914291,0,10
"128",1911441,0,10
"129",1915040,30,9.5
