"","Maso","f","Diem"
"130",1913918,60,9.5
"131",1911569,0,10
"132",1927007,100,8.5
"133",1914720,30,5.5
"134",1915562,407040,9.5
"135",1915651,0,10
"136",1915557,0,10
"137",1912457,0,10
"138",1912410,30,9.5
"139",1914210,40,8.5
"140",1914352,60,8.5
"141",1912523,0,10
"142",1913729,0,10
"143",1912916,80,5
"144",1912288,0,10
"145",1914704,90,7.5
"146",1912676,30,9
"147",1910110,0,10
"148",1914384,30,9
"149",1913566,0,10
"150",1912522,0,10
"151",1911650,0,10
"152",1910339,154260,9
"153",1910565,0,10
"154",1813096,60,9.5
"155",1914659,0,10
"156",1915076,0,10
"157",1912594,0,10
"158",1912749,0,10
"159",1915251,0,10
"160",1912912,0,9
"161",1913261,0,10
"162",1911207,0,10
"163",1913048,1200,8.5
"164",1913241,0,10
"165",1910351,510,9.5
"166",1912579,606300,8.5
"167",1910643,0,10
"168",1910094,0,9
"169",1912966,120,8
"170",1914316,0,10
"171",1914022,0,10
"172",1911363,60,9
"173",1912539,0,10
"174",1915442,0,10
"175",1910892,0,10
"176",1913254,0,10
"177",1914979,80,9.5
"178",1913599,0,10
"179",1912683,0,10
"180",1913609,60,9.5
"181",1911900,150,9.5
"182",1915275,0,9.5
"183",1914914,0,10
"184",1912700,30,9.5
"185",1910123,0,10
"186",1915083,30,9.5
"187",1911000,0,10
"188",1915919,60,9.5
"189",1913032,210,9.5
"190",1915882,30,9.5
"191",1914674,60,7.5
"192",1910473,0,10
"193",1914806,0,9.5
"194",1915598,60,9.5
"195",1910202,0,10
"196",1913306,90,8.5
"197",1913758,0,10
"198",1910650,60,9
"199",1916022,30,8.5
"200",1914763,0,10
"201",1914881,0,10
"202",1912084,0,10
"203",1910276,120,9
"204",1911056,0,10
"205",1915294,0,10
"206",1912798,0,10
"207",1913621,0,10
"208",1915350,60,8.5
"209",1914880,0,10
"210",1915991,0,10
"211",1613010,30,7.5
"212",1915470,60,9
"213",1912463,0,10
"214",1915795,0,10
"215",1913334,0,8.5
"216",1812257,0,10
"217",1912267,0,10
"218",1913764,0,10
"219",1912237,120,9
"220",1911058,0,10
"221",1915378,30,8
"222",1914424,0,10
"223",1915982,0,10
"224",1911841,0,10
"225",1913756,60,9
"226",1911217,0,10
"227",1914047,60,9.5
"228",1814611,0,10
"229",1912046,60,8.5
"230",1911105,120,9.5
"231",1913944,30,9.5
"232",1915940,60,9.5
"233",1913228,0,10
"234",1915520,0,10
"235",1915486,0,10
"236",1911907,0,9
"237",1812477,60,9
"238",1937064,0,9.5
"239",1911878,0,9
"240",1914878,0,10
"241",1913763,0,10
"242",1914698,0,10
"243",1912675,0,10
"244",1913218,0,10
"245",1915656,0,10
"246",1914310,0,10
"247",1913336,0,10
"248",1914900,0,10
"249",1915988,0,10
"250",1915016,0,10
"251",1915063,0,10
"252",1915570,60,7.5
"253",1915745,0,10
"254",1915474,0,10
"255",1913695,0,10
"256",1914079,0,9.5
"257",1914064,0,10
"258",1913354,0,10
"259",1910347,0,10
"260",1910984,0,10
"261",1912954,90,9.5
"262",1912386,30,8
"263",1911015,0,10
"264",1915928,90,6.5
"265",1915775,234160,9.5
"266",1913260,0,10
"267",1914078,0,10
"268",1912958,0,10
"269",1814518,0,10
"270",1915551,0,9.5
"271",1912677,0,10
"272",1911736,0,10
"273",1915133,NA,NA
"274",1852443,0,10
"275",1911296,0,10
"276",1914011,0,10
"277",1910198,0,10
"278",1911565,0,10
"279",1913629,0,10
"280",1914830,0,10
"281",1910006,60,9.5
"282",1915787,0,10
"283",1913430,0,10
"284",1913045,90,9.5
"285",1914477,0,10
"286",1911594,0,10
"287",1813528,0,10
"288",1913560,210,9
"289",1915161,0,10
"290",1914713,30,9
"291",1914651,0,8.5
"292",1820028,0,10
"293",1914685,30,9
"294",1913990,220,9.5
"295",1910265,0,10
"296",1913678,0,10
"297",1914661,120,3
"298",1915667,0,10
"299",1912705,0,10
"300",1915983,40,9.5
"301",1915866,0,10
"302",1914232,0,10
"303",1911530,0,10
"304",1911110,160,8.5
"305",1911975,150,4.5
"306",1913446,0,9
"307",1913419,0,9.5
"308",1911285,0,10
"309",1813681,0,9
"310",1912526,0,10
"311",1910060,0,10
"312",1915650,0,10
"313",1910663,0,10
"314",1913167,0,10
"315",1912713,0,10
"316",1912384,0,10
"317",1910735,0,10
"318",1913457,0,10
"319",1915931,0,10
"320",1910563,0,10
"321",1913040,0,10
"322",1915094,NA,NA
"323",NA,NA,9.61
