"","Maso","Cachnhau"
"1",1913014,106860
"2",1914807,0
"3",1915540,0
"4",1915541,0
"5",1913186,0
"6",1911591,0
"7",1912190,0
"8",1911704,0
"9",1915329,0
"10",1911186,540
"11",1912041,0
"12",1910666,0
"13",1914003,1369320
"14",1914802,540
"15",1915130,0
"16",1915822,0
"17",1913355,0
"18",1914055,0
"19",1911931,0
"20",1913464,0
"21",1814096,60
"22",1913123,180
"23",1911796,120
"24",1937024,0
"25",1913094,0
"26",1916061,0
"27",1913114,0
"28",1913844,240
"29",1914038,0
"30",1914472,0
"31",1912602,0
"32",1914864,0
"33",1911262,0
"34",1937019,467100
"35",1913832,0
"36",1914845,0
"37",1914405,0
"38",1914474,60
"39",1913102,0
"40",1910620,0
"41",1912817,0
"42",1913386,0
"43",1915953,0
"44",1910032,0
"45",1915865,0
"46",1914121,0
"47",1915071,0
"48",1913433,60
"49",1910916,0
"50",1914052,300
"51",1911837,0
"52",1913075,0
"53",1913467,0
"54",1913917,240
"55",1915439,180
"56",1915482,0
"57",1913396,0
"58",1911136,0
"59",1912123,0
"60",1913341,120
"61",1913949,120
"62",1913356,0
"63",1912184,0
"64",1914227,120
"65",1914641,0
"66",1911881,120
"67",1911456,0
"68",1914768,60
"69",1913828,0
"70",1912761,120
"71",1913651,120
"72",1911185,0
"73",1910038,1404120
"74",1910076,0
"75",1915905,180
"76",1913418,1140
"77",1511191,0
"78",1915903,300
"79",1910409,0
"80",1910101,0
"81",1911044,0
"82",1912980,0
"83",1912715,0
"84",1914093,0
"85",1912811,0
"86",1915323,0
"87",1910238,0
"88",1910298,0
"89",1915939,60
"90",1910402,0
"91",1910865,60
"92",1911561,180
"93",1915268,180
"94",1911520,0
"95",1913268,0
"96",1912371,0
"97",1910113,0
"98",1914054,0
"99",1914738,0
"100",1914697,0
"101",1911478,0
"102",1915473,0
"103",1910644,0
"104",1914084,0
"105",1913652,0
"106",1910346,0
"107",1912056,120
"108",1913775,120
"109",1812478,0
"110",1915351,0
"111",1913021,0
"112",1913424,120
"113",1914220,0
"114",1913817,120
"115",1936024,60
"116",1914126,0
"117",1914677,0
"118",1910224,0
"119",1911066,0
"120",1913026,0
"121",1913380,0
"122",1913713,0
"123",1910137,0
"124",1911314,0
"125",1915146,0
"126",1911283,0
"127",1914291,0
"128",1911441,0
"129",1915040,60
"130",1913918,180
"131",1911569,0
"132",1927007,300
"133",1914720,60
"134",1915562,814080
"135",1915651,0
"136",1915557,0
"137",1912457,0
"138",1912410,60
"139",1914210,120
"140",1914352,120
"141",1912523,0
"142",1913729,0
"143",1912916,240
"144",1912288,0
"145",1914704,180
"146",1912676,60
"147",1910110,0
"148",1914384,60
"149",1913566,0
"150",1912522,0
"151",1911650,0
"152",1910339,308520
"153",1910565,0
"154",1813096,120
"155",1914659,0
"156",1915076,0
"157",1912594,0
"158",1912749,0
"159",1915251,0
"160",1912912,0
"161",1913261,0
"162",1911207,0
"163",1913048,2400
"164",1913241,0
"165",1910351,1020
"166",1912579,1212600
"167",1910643,0
"168",1910094,0
"169",1912966,240
"170",1914316,0
"171",1914022,0
"172",1911363,120
"173",1912539,0
"174",1915442,0
"175",1910892,0
"176",1913254,0
"177",1914979,240
"178",1913599,0
"179",1912683,0
"180",1913609,180
"181",1911900,300
"182",1915275,0
"183",1914914,0
"184",1912700,60
"185",1910123,0
"186",1915083,60
"187",1911000,0
"188",1915919,120
"189",1913032,420
"190",1915882,60
"191",1914674,120
"192",1910473,0
"193",1914806,0
"194",1915598,120
"195",1910202,0
"196",1913306,180
"197",1913758,0
"198",1910650,120
"199",1916022,60
"200",1914763,0
"201",1914881,0
"202",1912084,0
"203",1910276,240
"204",1911056,0
"205",1915294,0
"206",1912798,0
"207",1913621,0
"208",1915350,120
"209",1914880,0
"210",1915991,0
"211",1613010,60
"212",1915470,120
"213",1912463,0
"214",1915795,0
"215",1913334,0
"216",1812257,0
"217",1912267,0
"218",1913764,0
"219",1912237,240
"220",1911058,0
"221",1915378,60
"222",1914424,0
"223",1915982,0
"224",1911841,0
"225",1913756,120
"226",1911217,0
"227",1914047,120
"228",1814611,0
"229",1912046,120
"230",1911105,240
"231",1913944,60
"232",1915940,120
"233",1913228,0
"234",1915520,0
"235",1915486,0
"236",1911907,0
"237",1812477,120
"238",1937064,0
"239",1911878,0
"240",1914878,0
"241",1913763,0
"242",1914698,0
"243",1912675,0
"244",1913218,0
"245",1915656,0
"246",1914310,0
"247",1913336,0
"248",1914900,0
"249",1915988,0
"250",1915016,0
"251",1915063,0
"252",1915570,180
"253",1915745,0
"254",1915474,0
"255",1913695,0
"256",1914079,0
"257",1914064,0
"258",1913354,0
"259",1910347,0
"260",1910984,0
"261",1912954,180
"262",1912386,60
"263",1911015,0
"264",1915928,180
"265",1915775,702480
"266",1913260,0
"267",1914078,0
"268",1912958,0
"269",1814518,0
"270",1915551,0
"271",1912677,0
"272",1911736,0
"273",1852443,0
"274",1911296,0
"275",1914011,0
"276",1910198,0
"277",1911565,0
"278",1913629,0
"279",1914830,0
"280",1910006,120
"281",1915787,0
"282",1913430,0
"283",1913045,180
"284",1914477,0
"285",1911594,0
"286",1813528,0
"287",1913560,420
"288",1915161,0
"289",1914713,60
"290",1914651,0
"291",1820028,0
"292",1914685,60
"293",1913990,660
"294",1910265,0
"295",1913678,0
"296",1914661,240
"297",1915667,0
"298",1912705,0
"299",1915983,120
"300",1915866,0
"301",1914232,0
"302",1911530,0
"303",1911110,480
"304",1911975,300
"305",1913446,0
"306",1913419,0
"307",1911285,0
"308",1813681,0
"309",1912526,0
"310",1910060,0
"311",1915650,0
"312",1910663,0
"313",1913167,0
