"","Maso","TrungBinh"
"1",1913014,510
"2",1914802,150
"3",1914802,150
"4",1913014,510
"5",1912041,0
"6",1913464,0
"7",1911591,0
"8",1911704,0
"9",1913186,0
"10",1911931,0
"11",1915822,0
"12",1913341,0
"13",1915329,0
"14",1910666,0
"15",1910032,0
"16",1915482,0
"17",1914003,0
"18",1911136,0
"19",1913949,0
"20",1912184,0
"21",1914227,0
"22",1913355,0
"23",1912190,0
"24",1915540,90
"25",1913094,0
"26",1915540,90
"27",1913356,0
"28",1915071,0
"29",1913123,0
"30",1914845,0
"31",1914055,0
"32",1911881,0
"33",1915865,0
"34",1910620,0
"35",1911456,0
"36",1914864,0
"37",1914768,0
"38",1913075,0
"39",1915541,0
"40",1915953,0
"41",1913418,360
"42",1913418,360
"43",1913418,360
"44",1914472,0
"45",1915905,0
"46",1914474,0
"47",1910076,0
"48",1511191,0
"49",1915903,0
"50",1912817,0
"51",1911185,0
"52",1912980,0
"53",1910916,0
"54",1910101,0
"55",1915323,0
"56",1814096,0
"57",1910298,0
"58",1915939,0
"59",1913386,0
"60",1916061,0
"61",1913467,0
"62",1914641,0
"63",1915268,0
"64",1911520,0
"65",1913268,0
"66",1911796,0
"67",1911262,3360
"68",1910238,0
"69",1914738,0
"70",1914405,0
"71",1910644,0
"72",1915473,0
"73",1911262,3360
"74",1912602,0
"75",1912056,0
"76",1912123,0
"77",1914052,0
"78",1915351,0
"79",1913021,0
"80",1812478,0
"81",1914093,0
"82",1914220,0
"83",1913424,0
"84",1937019,895650
"85",1914084,0
"86",1936024,346650
"87",1914677,0
"88",1911066,0
"89",1914038,0
"90",1910224,0
"91",1913026,0
"92",1913380,0
"93",1912371,0
"94",1914054,0
"95",1913775,0
"96",1911478,0
"97",1914291,0
"98",1915146,0
"99",1913652,0
"100",1915040,0
"101",1911314,0
"102",1913918,0
"103",1927007,0
"104",1914126,0
"105",1914720,0
"106",1913102,0
"107",1915562,0
"108",1911283,0
"109",1910137,0
"110",1915557,0
"111",1912457,0
"112",1911837,90
"113",1911837,90
"114",1911569,0
"115",1910409,0
"116",1913396,0
"117",1914352,0
"118",1912916,0
"119",1912288,0
"120",1912715,0
"121",1914704,210
"122",1914704,210
"123",1914704,210
"124",1913433,30
"125",1913433,30
"126",1913729,0
"127",1912523,0
"128",1912676,0
"129",1913114,30
"130",1913114,30
"131",1913566,0
"132",1910038,652980
"133",1910110,240
"134",1910110,240
"135",1913832,0
"136",1912410,0
"137",1910339,0
"138",1937019,895650
"139",1813096,0
"140",1912749,30
"141",1912749,30
"142",1913713,0
"143",1913241,180
"144",1913241,180
"145",1910351,0
"146",1913241,180
"147",1915439,0
"148",1910643,0
"149",1911186,0
"150",1910865,0
"151",1913917,390
"152",1913917,390
"153",1913917,390
"154",1913917,390
"155",1915442,0
"156",1914210,0
"157",1914384,0
"158",1912594,0
"159",1913254,0
"160",1936024,346650
"161",1914979,0
"162",1910892,0
"163",1914316,0
"164",1912683,0
"165",1913844,0
"166",1913609,0
"167",1915275,0
"168",1914121,0
"169",1912811,0
"170",1912761,0
"171",1912700,0
"172",1910123,480
"173",1910123,480
"174",1910123,480
"175",1912579,270
"176",1912579,270
"177",1914807,0
"178",1913261,0
"179",1911441,0
"180",1915919,0
"181",1910402,0
"182",1914806,0
"183",1915598,0
"184",1910202,0
"185",1913306,120
"186",1913306,120
"187",1910094,0
