"","Maso","Cachnhau","No"
"1",1913014,1020,1
"2",1914802,300,2
"3",1912041,0,3
"4",1913464,0,4
"5",1911591,0,5
"6",1911704,0,6
"7",1913186,0,7
"8",1911931,0,8
"9",1915822,0,9
"10",1913341,0,10
"11",1915329,0,11
"12",1910666,0,12
"13",1910032,0,13
"14",1915482,0,14
"15",1914003,0,15
"16",1911136,0,16
"17",1913949,0,17
"18",1912184,0,18
"19",1914227,0,19
"20",1913355,0,20
"21",1912190,0,21
"22",1915540,180,22
"23",1913094,0,23
"24",1913356,0,24
"25",1915071,0,25
"26",1913123,0,26
"27",1914845,0,27
"28",1914055,0,28
"29",1911881,0,29
"30",1915865,0,30
"31",1910620,0,31
"32",1911456,0,32
"33",1914864,0,33
"34",1914768,0,34
"35",1913075,0,35
"36",1915541,0,36
"37",1915953,0,37
"38",1913418,720,38
"39",1914472,0,39
"40",1915905,0,40
"41",1914474,0,41
"42",1910076,0,42
"43",1511191,0,43
"44",1915903,0,44
"45",1912817,0,45
"46",1911185,0,46
"47",1912980,0,47
"48",1910916,0,48
"49",1910101,0,49
"50",1915323,0,50
"51",1814096,0,51
"52",1910298,0,52
"53",1915939,0,53
"54",1913386,0,54
"55",1916061,0,55
"56",1913467,0,56
"57",1914641,0,57
"58",1915268,0,58
"59",1911520,0,59
"60",1913268,0,60
"61",1911796,0,61
"62",1911262,6720,62
"63",1910238,0,63
"64",1914738,0,64
"65",1914405,0,65
"66",1910644,0,66
"67",1915473,0,67
"68",1912602,0,68
"69",1912056,0,69
"70",1912123,0,70
"71",1914052,0,71
"72",1915351,0,72
"73",1913021,0,73
"74",1812478,0,74
"75",1914093,0,75
"76",1914220,0,76
"77",1913424,0,77
"78",1937019,1791300,78
"79",1914084,0,79
"80",1936024,693300,80
"81",1914677,0,81
"82",1911066,0,82
"83",1914038,0,83
"84",1910224,0,84
"85",1913026,0,85
"86",1913380,0,86
"87",1912371,0,87
"88",1914054,0,88
"89",1913775,0,89
"90",1911478,0,90
"91",1914291,0,91
"92",1915146,0,92
"93",1913652,0,93
"94",1915040,0,94
"95",1911314,0,95
"96",1913918,0,96
"97",1927007,0,97
"98",1914126,0,98
"99",1914720,0,99
"100",1913102,0,100
"101",1915562,0,101
"102",1911283,0,102
"103",1910137,0,103
"104",1915557,0,104
"105",1912457,0,105
"106",1911837,180,106
"107",1911569,0,107
"108",1910409,0,108
"109",1913396,0,109
"110",1914352,0,110
"111",1912916,0,111
"112",1912288,0,112
"113",1912715,0,113
"114",1914704,420,114
"115",1913433,60,115
"116",1913729,0,116
"117",1912523,0,117
"118",1912676,0,118
"119",1913114,60,119
"120",1913566,0,120
"121",1910038,1305960,121
"122",1910110,480,122
"123",1913832,0,123
"124",1912410,0,124
"125",1910339,0,125
"126",1813096,0,126
"127",1912749,60,127
"128",1913713,0,128
"129",1913241,360,129
"130",1910351,0,130
"131",1915439,0,131
"132",1910643,0,132
"133",1911186,0,133
"134",1910865,0,134
"135",1913917,780,135
"136",1915442,0,136
"137",1914210,0,137
"138",1914384,0,138
"139",1912594,0,139
"140",1913254,0,140
"141",1914979,0,141
"142",1910892,0,142
"143",1914316,0,143
"144",1912683,0,144
"145",1913844,0,145
"146",1913609,0,146
"147",1915275,0,147
"148",1914121,0,148
"149",1912811,0,149
"150",1912761,0,150
"151",1912700,0,151
"152",1910123,960,152
"153",1912579,540,153
"154",1914807,0,154
"155",1913261,0,155
"156",1911441,0,156
"157",1915919,0,157
"158",1910402,0,158
"159",1914806,0,159
"160",1915598,0,160
"161",1910202,0,161
"162",1913306,240,162
"163",1910094,0,163
"164",1910113,0,164
"165",1915076,0,165
"166",1910650,0,166
"167",1914763,0,167
"168",1912084,0,168
"169",1937024,0,169
"170",1911561,0,170
"171",1910276,NA,171
"172",1910565,0,172
"173",1913621,0,173
"174",1911207,0,174
"175",1914881,0,175
"176",1915350,0,176
"177",1915991,0,177
"178",1613010,0,178
"179",1914880,0,179
"180",1912463,0,180
"181",1912798,0,181
"182",1915651,0,182
"183",1915795,0,183
"184",1915882,0,184
"185",1913828,0,185
"186",1913334,0,186
"187",1812257,0,187
"188",1911056,0,188
"189",1912267,120,189
"190",1911058,0,190
"191",1912237,0,191
"192",1911000,0,192
"193",1912539,0,193
"194",1915083,0,194
"195",1914424,0,195
"196",1915251,0,196
"197",1915982,780,197
"198",1913048,2040,198
"199",1911841,0,199
"200",1911217,0,200
"201",1914659,0,201
"202",1912046,0,202
"203",1913764,0,203
"204",1911105,480,204
"205",1913944,0,205
"206",1913228,0,206
"207",1915520,0,207
"208",1915940,0,208
"209",1915378,0,209
"210",1911907,0,210
"211",1937064,0,211
"212",1913651,0,212
"213",1912912,0,213
"214",1914047,0,214
"215",1914674,0,215
"216",1914878,0,216
"217",1914698,0,217
"218",1913218,0,218
"219",1915656,0,219
"220",1913336,0,220
"221",1812477,0,221
"222",1913763,0,222
"223",1915988,NA,223
"224",1915016,0,224
"225",1912675,0,225
"226",1912966,0,226
"227",1914310,0,227
"228",1913817,0,228
"229",1914022,0,229
"230",1915745,0,230
"231",1913695,0,231
"232",1915063,0,232
"233",1914079,0,233
"234",1914064,0,234
"235",1915474,0,235
"236",1911650,0,236
"237",1913354,0,237
"238",1913756,0,238
"239",1915470,3360,239
"240",1910347,0,240
"241",1910473,0,241
"242",1912954,0,242
"243",1912386,0,243
"244",1915775,0,244
"245",1914078,0,245
"246",1913260,0,246
"247",1814518,0,247
"248",1912958,0,248
"249",1915551,0,249
"250",1911736,0,250
"251",1911900,0,251
"252",1914914,0,252
"253",1852443,0,253
"254",1911296,0,254
"255",1915486,0,255
"256",1910346,0,256
"257",1914697,0,257
"258",1914011,0,258
"259",1911015,209220,259
"260",1910198,900,260
"261",1910984,0,261
"262",1911565,0,262
"263",1914830,0,263
"264",1913430,0,264
"265",1915130,0,265
"266",1913045,0,266
"267",1915294,0,267
"268",1914477,0,268
"269",1913629,0,269
"270",1911594,0,270
"271",1813528,0,271
"272",1915787,0,272
"273",1913560,0,273
"274",1914713,0,274
"275",1914651,0,275
"276",1820028,0,276
"277",1914685,0,277
"278",1910265,0,278
"279",1913678,0,279
"280",1913990,1440,280
"281",1914661,420,281
"282",1915667,0,282
"283",1912705,0,283
"284",1915983,0,284
"285",1914232,0,285
"286",1915866,0,286
"287",1911110,0,287
"288",1911363,0,288
"289",1913446,0,289
"290",1913419,0,290
"291",1911975,0,291
"292",1911285,0,292
"293",1813681,0,293
"294",1912526,0,294
"295",1910006,0,295
"296",1910060,0,296
"297",1915650,0,297
"298",1913599,0,298
"299",1915570,0,299
"300",1910663,0,300
"301",1911530,0,301
"302",1913167,0,302
"303",1911044,0,303
"304",1912713,0,304
"305",1912384,0,305
"306",1910735,0,306
"307",1913457,0,307
"308",1916022,0,308
"309",1913758,0,309
"310",1911878,0,310
"311",1915133,0,311
"312",1915931,0,312
"313",1912522,0,313
"314",1910563,0,314
"315",1913040,0,315
"316",NA,NA,316
