"","Maso"
"1",1914807
"2",1915540
"3",1915541
"4",1913186
"5",1911591
"6",1912190
"7",1911704
"8",1915329
"9",1912041
"10",1910666
"11",1915130
"12",1915822
"13",1913355
"14",1914055
"15",1911931
"16",1913464
"17",1937024
"18",1913094
"19",1916061
"20",1913114
"21",1914038
"22",1914472
"23",1912602
"24",1914864
"25",1911262
"26",1913832
"27",1914845
"28",1914405
"29",1913102
"30",1910620
"31",1912817
"32",1913386
"33",1915953
"34",1910032
"35",1915865
"36",1914121
"37",1915071
"38",1910916
"39",1911837
"40",1913075
"41",1913467
"42",1915482
"43",1913396
"44",1911136
"45",1912123
"46",1913356
"47",1912184
"48",1914641
"49",1911456
"50",1913828
"51",1911185
"52",1910076
"53",1511191
"54",1910409
"55",1910101
"56",1911044
"57",1912980
"58",1912715
"59",1914093
"60",1912811
"61",1915323
"62",1910238
"63",1910298
"64",1910402
"65",1911520
"66",1913268
"67",1912371
"68",1910113
"69",1914054
"70",1914738
"71",1914697
"72",1911478
"73",1915473
"74",1910644
"75",1914084
"76",1913652
"77",1910346
"78",1812478
"79",1915351
"80",1913021
"81",1914220
"82",1914126
"83",1914677
"84",1910224
"85",1911066
"86",1913026
"87",1913380
"88",1913713
"89",1910137
"90",1911314
"91",1915146
"92",1911283
"93",1914291
"94",1911441
"95",1911569
"96",1915651
"97",1915557
"98",1912457
"99",1912523
"100",1913729
"101",1912288
"102",1910110
"103",1913566
"104",1912522
"105",1911650
"106",1910565
"107",1914659
"108",1915076
"109",1912594
"110",1912749
"111",1915251
"112",1912912
"113",1913261
"114",1911207
"115",1913241
"116",1910643
"117",1910094
"118",1914316
"119",1914022
"120",1912539
"121",1915442
"122",1910892
"123",1913254
"124",1913599
"125",1912683
"126",1915275
"127",1914914
"128",1910123
"129",1911000
"130",1910473
"131",1914806
"132",1910202
"133",1913758
"134",1914763
"135",1914881
"136",1912084
"137",1911056
"138",1915294
"139",1912798
"140",1913621
"141",1914880
"142",1915991
"143",1912463
"144",1915795
"145",1913334
"146",1812257
"147",1912267
"148",1913764
"149",1911058
"150",1914424
"151",1915982
"152",1911841
"153",1911217
"154",1814611
"155",1913228
"156",1915520
"157",1915486
"158",1911907
"159",1937064
"160",1911878
"161",1914878
"162",1913763
"163",1914698
"164",1912675
"165",1913218
"166",1915656
"167",1914310
"168",1913336
"169",1914900
"170",1915988
"171",1915016
"172",1915063
"173",1915745
"174",1915474
"175",1913695
"176",1914079
"177",1914064
"178",1913354
"179",1910347
"180",1910984
"181",1911015
"182",1913260
"183",1914078
"184",1912958
"185",1814518
"186",1915551
"187",1912677
"188",1911736
"189",1852443
"190",1911296
"191",1914011
"192",1910198
"193",1911565
"194",1913629
"195",1914830
"196",1915787
"197",1913430
"198",1914477
"199",1911594
"200",1813528
"201",1915161
"202",1914651
"203",1820028
"204",1910265
"205",1913678
"206",1915667
"207",1912705
"208",1915866
"209",1914232
"210",1911530
"211",1913446
"212",1913419
"213",1911285
"214",1813681
"215",1912526
"216",1910060
"217",1915650
"218",1910663
"219",1913167
"220",1912713
"221",1912384
"222",1910735
"223",1913457
"224",1915133
"225",1915931
"226",1910563
"227",1913040
