"","Maso","f","Diem"
"1",1913014,92580,9
"2",1911591,0,10
"3",1913186,90,9
"4",1936024,60,8
"5",1913380,0,10
"6",1915482,0,10
"7",1913832,0,10
"8",1911837,0,10
"9",1914003,0,10
"10",1914227,0,10
"11",1915541,0,10
"12",1913355,90,7
"13",1912980,0,10
"14",1912041,0,9
"15",1914720,30,7
"16",1913566,30,6
"17",1912817,0,10
"18",1913775,0,10
"19",1915329,0,10
"20",1911704,0,10
"21",1910666,30,9
"22",1914845,0,10
"23",1914474,0,10
"24",1910644,90,6
"25",1915473,0,10
"26",1911136,0,10
"27",1914405,887670,8
"28",1913464,0,10
"29",1912190,0,10
"30",1911881,0,10
"31",1812478,0,10
"32",1911931,0,10
"33",1913123,0,10
"34",1914220,0,10
"35",1913241,0,10
"36",1915540,0,10
"37",1913075,0,10
"38",1913094,0,10
"39",1915822,0,10
"40",1915562,0,10
"41",1911314,0,10
"42",1910101,0,10
"43",1913254,0,10
"44",1927007,60,9
"45",1914864,0,10
"46",1915146,100,5
"47",1914384,0,10
"48",1913114,0,10
"49",1914641,0,10
"50",1814096,0,10
"51",1913386,0,10
"52",1913609,0,10
"53",1913844,0,10
"54",1910865,0,10
"55",1913396,0,10
"56",1915275,125790,6
"57",1911569,0,10
"58",1915865,0,10
"59",1910409,0,10
"60",1912523,29070,6
"61",1912410,0,10
"62",1915903,0,10
"63",1912811,0,10
"64",1914807,0,9
"65",1914768,0,10
"66",1913021,0,10
"67",1912184,0,10
"68",1913467,0,10
"69",1911262,0,10
"70",1914472,0,9
"71",1914677,0,10
"72",1910137,870,9
"73",1913306,0,10
"74",1912371,0,10
"75",1915076,0,10
"76",1912084,0,10
"77",1912700,30,9
"78",1915953,0,10
"79",1915323,0,10
"80",1914052,0,10
"81",1910113,0,10
"82",1910202,0,10
"83",1913418,90,7
"84",1913261,0,10
"85",1914055,0,10
"86",1914979,0,10
"87",1937024,0,10
"88",1912463,0,10
"89",1911207,0,10
"90",1915919,0,10
"91",1915795,90,9
"92",1911478,0,10
"93",1911520,0,10
"94",1910620,0,10
"95",1915442,0,10
"96",1511191,0,10
"97",1912123,0,9
"98",1910351,0,10
"99",1915991,0,10
"100",1913621,0,10
"101",1912798,0,10
"102",1911283,0,10
"103",1910892,0,10
"104",1912715,0,10
"105",1914881,0,10
"106",1910298,0,10
"107",1913918,0,10
"108",1915651,0,10
"109",1910038,0,10
"110",1812257,0,10
"111",1912676,0,10
"112",1912579,0,10
"113",1911796,0,10
"114",1911185,0,10
"115",1910916,0,10
"116",1912237,0,10
"117",1913102,0,10
"118",1913356,0,10
"119",1913944,0,10
"120",1914659,0,10
"121",1916061,180,9
"122",1910076,0,10
"123",1912683,0,10
"124",1915520,982800,9
"125",1912749,0,10
"126",1910339,0,10
"127",1913026,0,10
"128",1912288,0,10
"129",1914054,0,10
"130",1910110,0,10
"131",1911907,0,10
"132",1910643,0,10
"133",1910238,0,10
"134",1937064,0,10
"135",1910032,30,7
"136",1910276,0,10
"137",1914084,0,10
"138",1913764,0,10
"139",1915071,0,10
"140",1915351,0,10
"141",1915268,60,7
"142",1913218,0,8
"143",1914291,0,10
"144",1914698,0,10
"145",1913336,0,9
"146",1914674,0,10
"147",1911441,0,10
"148",1913652,0,9
"149",1812477,900,8
"150",1911066,60,9
"151",1915378,60,9
"152",1914022,0,10
"153",1913341,0,10
"154",1913048,0,10
"155",1912539,60,9
"156",1913695,0,10
"157",1914121,0,10
"158",1913334,0,10
"159",1915474,0,10
"160",1914704,90,5
"161",1910565,0,9
"162",1911650,0,10
"163",1913433,0,10
"164",1915251,0,10
"165",1913729,0,10
"166",1915063,0,10
"167",1915882,90,9
"168",1911058,60,9
"169",1911186,30,9
"170",1912594,60,7
"171",1911000,180,7
"172",1910650,0,10
"173",1912916,0,10
"174",1914316,0,10
"175",1910473,0,10
"176",1911056,0,10
"177",1912761,0,10
"178",1613010,120,7
"179",1912386,0,9
"180",1915775,30,6
"181",1910123,0,10
"182",1914880,90,9
"183",1913817,150,7
"184",1914078,0,10
"185",1814518,60,9
"186",1911841,0,10
"187",1912675,0,10
"188",1915745,60,9
"189",1914126,90,9
"190",1913949,0,10
"191",1915551,0,10
"192",1912602,0,10
"193",1913713,0,10
"194",1911736,0,10
"195",1915557,0,10
"196",1915083,30,9
"197",1914424,60,8
"198",1914093,0,10
"199",1915988,100,9
"200",1914310,0,9
"201",1913268,60,9
"202",1913651,0,10
"203",1914738,0,10
"204",1915439,0,10
"205",1914352,0,10
"206",1914210,0,10
"207",1910094,0,10
"208",1915040,0,10
"209",1914079,0,9
"210",1914038,0,10
"211",1912912,0,9
"212",1912046,0,10
"213",1910984,0,10
"214",1911565,0,10
"215",1912056,30,9
"216",1912457,0,10
"217",1914011,0,10
"218",1915486,0,10
"219",1915130,30,9
"220",1911015,0,10
"221",1915294,0,10
"222",1914830,30,6
"223",1911594,0,10
"224",1914477,0,8
"225",1813096,60,9
"226",1913560,0,10
"227",1914713,60,9
"228",1914651,0,7
"229",1914914,0,10
"230",1911217,60,7
"231",1820028,30,8
"232",1913424,0,10
"233",1915656,0,10
"234",1914685,40,6
"235",1915787,0,10
"236",1912966,0,8
"237",1911296,0,10
"238",1913678,30,8
"239",1914661,30,0
"240",1913763,0,10
"241",1852443,60,8
"242",1912705,0,9
"243",1915983,0,10
"244",1915598,0,10
"245",1914232,0,10
"246",1914047,150,9
"247",1911110,0,10
"248",1910346,0,10
"249",1913446,0,10
"250",1913419,0,9
"251",1911363,0,10
"252",1915866,0,10
"253",1913828,0,10
"254",1910006,0,10
"255",1910060,0,10
"256",1912267,0,10
"257",1913430,0,10
"258",1911900,0,10
"259",1910347,0,10
"260",1910663,0,10
"261",1911530,0,10
"262",1915016,0,10
"263",1910402,0,10
"264",1912713,0,10
"265",1913167,0,10
"266",1913599,0,10
"267",1913457,60,8
"268",1916022,0,10
"269",1910224,30,9
"270",1913354,0,10
"271",1912384,0,10
"272",1915350,0,10
"273",1913045,90,9
"274",1915133,0,10
"275",1910265,0,10
"276",1813681,0,10
"277",1911285,0,10
"278",1911044,80,9
"279",1915982,0,10
"280",1914763,0,10
"281",1913040,0,10
"282",1915570,0,10
